epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6067,0.6928,1.39399,0.90945,0.96711,0.93978,0.97818,0.7924,0.65926,0.74997,0.91906,0.000554374,0.000554374,0.000554374
2,107.541,0.70649,0.79608,0.93273,0.94553,0.94515,0.97258,0.78696,0.65826,0.65707,0.93657,0.00108806,0.00108806,0.00108806
3,155.304,0.69898,0.6227,0.93285,0.94889,0.95535,0.97691,0.79079,0.64628,0.51387,0.93322,0.00159975,0.00159975,0.00159975
4,204.647,0.67866,0.55826,0.92409,0.9693,0.96436,0.98818,0.82967,0.58754,0.43439,0.905,0.00156798,0.00156798,0.00156798
5,254.63,0.66613,0.51628,0.92165,0.98328,0.96011,0.98882,0.84916,0.57259,0.40373,0.90456,0.00153497,0.00153497,0.00153497
6,305.207,0.64156,0.47764,0.91448,0.93213,0.95723,0.95085,0.79494,0.57952,0.44731,0.90524,0.00150197,0.00150197,0.00150197
7,357.11,0.6345,0.46505,0.9125,0.96439,0.96244,0.98398,0.84088,0.54667,0.38261,0.88405,0.00146896,0.00146896,0.00146896
8,406.115,0.62904,0.44421,0.90666,0.96467,0.96056,0.97671,0.82515,0.55265,0.39245,0.8827,0.00143595,0.00143595,0.00143595
9,456.023,0.62159,0.4261,0.9056,0.95458,0.98215,0.98868,0.84047,0.55035,0.3628,0.88959,0.00140295,0.00140295,0.00140295
10,508.307,0.60221,0.42085,0.89844,0.98906,0.9789,0.99321,0.85957,0.53607,0.35417,0.87686,0.00136994,0.00136994,0.00136994
11,558.818,0.60067,0.41636,0.89807,0.97299,0.98195,0.9833,0.8475,0.51287,0.34085,0.87004,0.00133693,0.00133693,0.00133693
12,609.945,0.59501,0.40953,0.90007,0.98376,0.97343,0.99198,0.8654,0.51545,0.34103,0.87167,0.00130393,0.00130393,0.00130393
13,659.784,0.58272,0.397,0.88783,0.97658,0.974,0.99138,0.86804,0.51062,0.33,0.86943,0.00127092,0.00127092,0.00127092
14,710.5,0.58185,0.38455,0.89265,0.98907,0.97478,0.99302,0.86835,0.5198,0.32854,0.8706,0.00123791,0.00123791,0.00123791
15,762.203,0.58124,0.38084,0.89137,0.96563,0.97939,0.9753,0.85259,0.52203,0.33684,0.87201,0.00120491,0.00120491,0.00120491
16,814.872,0.56453,0.37315,0.88942,0.97977,0.98264,0.9936,0.87764,0.50247,0.3087,0.87017,0.0011719,0.0011719,0.0011719
17,864.478,0.57245,0.38093,0.88955,0.98653,0.97403,0.99314,0.86902,0.51267,0.30515,0.86259,0.00113889,0.00113889,0.00113889
18,916.126,0.56369,0.36861,0.88676,0.97111,0.98733,0.99335,0.87374,0.50196,0.29855,0.86607,0.00110589,0.00110589,0.00110589
19,969.436,0.55515,0.36024,0.88349,0.97708,0.98273,0.99222,0.86611,0.51024,0.30753,0.86946,0.00107288,0.00107288,0.00107288
20,1021.88,0.56177,0.3606,0.88307,0.98333,0.98778,0.99298,0.88095,0.49611,0.29581,0.86295,0.00103987,0.00103987,0.00103987
21,1070.03,0.55091,0.35064,0.8827,0.98757,0.98227,0.99292,0.88312,0.48386,0.28783,0.85956,0.00100687,0.00100687,0.00100687
22,1119.52,0.54891,0.34315,0.88183,0.98867,0.97851,0.99353,0.88664,0.48409,0.28271,0.85997,0.000973861,0.000973861,0.000973861
23,1172.47,0.54545,0.34314,0.88005,0.98681,0.98206,0.99352,0.88198,0.48515,0.28859,0.85774,0.000940855,0.000940855,0.000940855
24,1225.55,0.55132,0.34423,0.88152,0.98935,0.97987,0.99291,0.88396,0.481,0.27887,0.85708,0.000907848,0.000907848,0.000907848
25,1278.87,0.54006,0.33436,0.87759,0.98456,0.98626,0.99359,0.87847,0.5012,0.28514,0.86505,0.000874842,0.000874842,0.000874842
26,1328.45,0.53787,0.32864,0.88011,0.98678,0.98504,0.99179,0.88636,0.48685,0.28035,0.86017,0.000841835,0.000841835,0.000841835
27,1386.94,0.52839,0.32328,0.87341,0.99212,0.98195,0.99395,0.89438,0.46697,0.25906,0.85059,0.000808828,0.000808828,0.000808828
28,1439.87,0.52227,0.31786,0.87401,0.98924,0.98339,0.99385,0.89589,0.46871,0.26179,0.85312,0.000775822,0.000775822,0.000775822
29,1490.02,0.52836,0.32405,0.87577,0.98559,0.98475,0.99278,0.88638,0.47304,0.27497,0.85042,0.000742815,0.000742815,0.000742815
30,1543.31,0.52073,0.31912,0.87218,0.98947,0.98017,0.99339,0.89264,0.46857,0.2666,0.84685,0.000709809,0.000709809,0.000709809
31,1593.09,0.52111,0.31066,0.87453,0.98665,0.98582,0.99388,0.89575,0.46508,0.26223,0.85179,0.000676802,0.000676802,0.000676802
32,1646.5,0.51542,0.31237,0.87101,0.98555,0.98926,0.99397,0.8892,0.47228,0.26128,0.84479,0.000643795,0.000643795,0.000643795
33,1698.18,0.50808,0.30563,0.87007,0.98738,0.98338,0.99377,0.89049,0.46637,0.26014,0.84962,0.000610789,0.000610789,0.000610789
34,1751.33,0.51254,0.30779,0.86735,0.98601,0.98752,0.99385,0.89405,0.46718,0.25118,0.84605,0.000577782,0.000577782,0.000577782
35,1802.21,0.50656,0.29822,0.86769,0.98602,0.98528,0.99355,0.90037,0.45432,0.24968,0.84152,0.000544776,0.000544776,0.000544776
36,1853.57,0.50423,0.30047,0.86618,0.98517,0.98466,0.99376,0.89968,0.45243,0.25144,0.8394,0.000511769,0.000511769,0.000511769
37,1907.23,0.50073,0.29323,0.86147,0.99091,0.9846,0.99395,0.90337,0.44981,0.24552,0.8396,0.000478762,0.000478762,0.000478762
38,1959.74,0.49728,0.28394,0.86618,0.98776,0.98539,0.99374,0.90227,0.4521,0.24034,0.84229,0.000445756,0.000445756,0.000445756
39,2011.76,0.49119,0.28369,0.86735,0.98817,0.98795,0.99359,0.90582,0.44345,0.23883,0.83855,0.000412749,0.000412749,0.000412749
40,2060.99,0.4887,0.27957,0.85937,0.98871,0.98859,0.99386,0.90171,0.44781,0.23633,0.8394,0.000379743,0.000379743,0.000379743
41,2110.4,0.44617,0.24462,0.84412,0.98882,0.9877,0.99369,0.89995,0.46159,0.24765,0.8521,0.000346736,0.000346736,0.000346736
42,2161.19,0.44214,0.24564,0.8377,0.98254,0.98983,0.99366,0.89965,0.45321,0.24419,0.84317,0.000313729,0.000313729,0.000313729
43,2211.73,0.44014,0.24503,0.83989,0.99236,0.9825,0.99409,0.90326,0.45153,0.24191,0.83754,0.000280723,0.000280723,0.000280723
44,2264.35,0.4343,0.23774,0.83269,0.98986,0.98637,0.99372,0.90606,0.44666,0.2356,0.8379,0.000247716,0.000247716,0.000247716
45,2312.99,0.42784,0.23232,0.83383,0.98555,0.98717,0.99393,0.90289,0.44828,0.23552,0.83754,0.00021471,0.00021471,0.00021471
46,2361.69,0.42244,0.22597,0.8279,0.98989,0.9854,0.99383,0.90381,0.44276,0.22559,0.83859,0.000181703,0.000181703,0.000181703
47,2420.17,0.41817,0.22338,0.82938,0.98843,0.98778,0.99392,0.90234,0.44127,0.227,0.83798,0.000148696,0.000148696,0.000148696
48,2477.12,0.41527,0.21998,0.82951,0.99024,0.98704,0.99372,0.90842,0.43987,0.22191,0.83823,0.00011569,0.00011569,0.00011569
49,2533.26,0.41035,0.21406,0.82732,0.99004,0.98759,0.9938,0.9093,0.43893,0.21995,0.83644,8.26832e-05,8.26832e-05,8.26832e-05
50,2583.72,0.40867,0.20872,0.82796,0.99015,0.9869,0.99381,0.9086,0.43555,0.21629,0.83554,4.96766e-05,4.96766e-05,4.96766e-05
